Sample,Concentration,Time,Volume,Temperature,pH,V2O5,xerogel,V3O7,lamellar,VO2,Z,V2O3,Phase,
1,0.1,1,12,225,1.75,,,0.5923,0.4082,,,,CD,
2,0.1,4,12,225,1.75,,1,,,,,,B,
3,0.5,1,12,225,1.48,,1,,,,,,B,
4,0.5,4,12,225,1.48,0.90084,0.0992,,,,,,AB,
5,0.1,2.5,8,225,1.75,,,1,,,,,C,
6,0.1,2.5,16,225,1.75,,1,,,,,,B,
7,0.5,2.5,8,225,1.48,0.7623,,,0.2388,,,,AD,
8,0.5,2.5,16,225,1.48,,,,1,,,,D,
9,0.1,2.5,12,200,1.75,0.5473,,,0.4538,,,,AD,
10,0.1,2.5,12,250,1.75,,,1,,,,,C,
11,0.5,2.5,12,200,1.48,,,,1,,,,D,
12,0.5,2.5,12,250,1.48,1,,,,,,,A,
13,0.1,2.5,12,225,2.8,,,,,0.9812,,,E,
14,0.1,2.5,12,225,0.7,0.2826,,,0.7185,,,,AD,
15,0.5,2.5,12,225,2.8,,,0.3564,,0.5303,,0.1133,CEG,
16,0.5,2.5,12,225,0.49,1,,,,,,,A,
17,0.3,1,8,225,1.31,0.631,,,0.371,,,,AD,
18,0.3,1,16,225,1.31,,,,1,,,,D,
19,0.3,4,8,225,1.58,1,,,,,,,A,
20,0.3,4,16,225,1.58,0.1,,,0.9,,,,AD,
21,0.3,1,12,200,1.31,,1,,,,,,B,
22,0.3,1,12,250,1.31,,,0.97933,0.02072,,,,CD,
23,0.3,4,12,200,1.58,0.2,0.8,,,,,,AB,
24,0.3,4,12,250,1.58,0.5,0.1,,0.4,,,,ABD,
25,0.3,1,12,225,2.8,,,0.0739,,0.9261,,,CE,used 8:8
26,0.3,1,12,225,0.32,1,,,,,,,A,
27,0.3,4,12,225,2.8,,,0.0442,,0.9499,,0.0059,CEG,
28,0.3,4,12,225,0.61,1,,,,,,,A,
29,0.3,2.5,8,200,1.31,,1,,,,,,B,
30,0.3,2.5,8,250,1.31,,,,1,,,,D,
31,0.3,2.5,16,200,1.31,,,,1,,,,D,
32,0.3,2.5,16,250,1.31,,,,,,1,,F,
33,0.3,2.5,8,225,2.8,,,,,1,,,E,
34,0.3,2.5,8,225,0.4,1,,,,,,,A,
35,0.3,2.5,16,225,2.8,,,0.1109,,0.8594,,0.0297,CE,
36,0.3,2.5,16,225,0.56,1,,,,,,,A,
37,0.3,2.5,12,200,2.8,,,0.1544,,0.7814,,,CE,
38,0.3,2.5,12,200,0.37,,,,1,,,,D,
39,0.3,2.5,12,250,2.8,,,,,1,,,E,
40,0.3,2.5,12,250,0.56,1,,,,,,,A,
41,0.3,2.5,12,225,1.48,,,,,,1,,F,
